melanin_concentration(Cm),blood_concentration(Ch),melanin_blend(Bm),BloodOxy,epidermis_thickness(T),X,Y,Z,sR,sG,sB
0.01,0.002,0.728553,0.6,0.005,65.0765,68.6323,60.7362,224.746,215.357,193.797
0.01,0.002,0.5,0.6,0.0125,64.9946,68.665,59.7687,224.966,215.497,192.125
0.01,0.002,0.5,0.695,0.0125,65.0069,68.6826,59.9817,224.843,215.539,192.486
0.01,0.002,0.5,0.885,0.02,64.4934,68.0774,59.1921,224.392,214.598,191.28
0.01,0.002,0.5,0.6,0.02,64.5682,68.1448,58.9929,224.708,214.662,190.919
0.01,0.002,0.5,0.79,0.02,64.5781,68.0452,59.4325,224.663,214.411,191.714
0.01,0.002,0.5,0.79,0.0125,64.9865,68.569,59.9856,224.984,215.269,192.528
0.01,0.002,0.5,0.6,0.005,65.4844,69.1119,60.891,225.417,216.071,193.94
0.01,0.002,0.5,0.98,0.0125,64.829,68.4226,60.0285,224.578,215.1,192.636
0.01,0.002,0.5,0.695,0.005,65.4669,69.1151,61.0288,225.245,216.111,194.171
0.01,0.002,0.5,0.695,0.02,64.5214,68.0838,59.0932,224.565,214.571,191.109
0.01,0.002,0.5,0.98,0.005,65.3176,68.9518,60.9786,224.97,215.882,194.126
0.01,0.002,0.5,0.98,0.02,64.4381,68.0318,59.262,224.201,214.557,191.411
0.01,0.002,0.5,0.885,0.005,65.335,68.9778,60.9894,224.985,215.927,194.137
0.01,0.002,0.5,0.79,0.005,65.4357,69.0432,61.0026,225.274,215.963,194.147
0.01,0.002,0.5,0.885,0.0125,64.9012,68.4964,59.9266,224.805,215.19,192.443
0.01,0.002,0.728553,0.6,0.02,63.911,67.329,58.5085,223.866,213.372,190.291
0.01,0.002,0.728553,0.695,0.02,63.8372,67.2184,58.5759,223.729,213.183,190.439
0.01,0.002,0.728553,0.695,0.0125,64.4135,67.9976,59.6065,223.936,214.521,192.014
0.01,0.002,0.728553,0.695,0.005,65.0417,68.6181,60.6366,224.691,215.361,193.629
0.01,0.002,0.728553,0.6,0.0125,64.3951,68.034,59.507,223.849,214.636,191.829
0.01,0.002,0.728553,0.885,0.005,64.9191,68.4969,60.579,224.449,215.205,193.56
0.01,0.002,0.728553,0.79,0.02,63.8624,67.2265,58.7096,223.732,213.177,190.671
0.01,0.002,0.728553,0.79,0.0125,64.4381,67.9833,59.6133,224.067,214.45,192.033
